geoName,ChatGPT
Alabama,44
Alaska,45
Arizona,67
Arkansas,38
California,82
Colorado,58
Connecticut,66
Delaware,59
District of Columbia,100
Florida,68
Georgia,70
Hawaii,59
Idaho,53
Illinois,62
Indiana,54
Iowa,41
Kansas,45
Kentucky,38
Louisiana,37
Maine,40
Maryland,70
Massachusetts,79
Michigan,56
Minnesota,52
Mississippi,38
Missouri,49
Montana,41
Nebraska,44
Nevada,55
New Hampshire,52
New Jersey,75
New Mexico,45
New York,64
North Carolina,58
North Dakota,43
Ohio,51
Oklahoma,47
Oregon,42
Pennsylvania,58
Rhode Island,60
South Carolina,42
South Dakota,43
Tennessee,45
Texas,70
Utah,75
Vermont,50
Virginia,72
Washington,62
West Virginia,36
Wisconsin,41
Wyoming,36
