geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,45
Arkansas,0
California,81
Colorado,69
Connecticut,0
Delaware,0
District of Columbia,0
Florida,26
Georgia,35
Hawaii,0
Idaho,0
Illinois,41
Indiana,50
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,49
Massachusetts,98
Michigan,47
Minnesota,79
Mississippi,0
Missouri,32
Montana,0
Nebraska,0
Nevada,54
New Hampshire,0
New Jersey,45
New Mexico,0
New York,52
North Carolina,45
North Dakota,0
Ohio,33
Oklahoma,0
Oregon,69
Pennsylvania,39
Rhode Island,0
South Carolina,33
South Dakota,0
Tennessee,36
Texas,49
Utah,59
Vermont,0
Virginia,58
Washington,100
West Virginia,0
Wisconsin,49
Wyoming,0
