geoName,Perplexity AI
Alabama,36
Alaska,0
Arizona,45
Arkansas,0
California,45
Colorado,31
Connecticut,41
Delaware,0
District of Columbia,100
Florida,33
Georgia,34
Hawaii,0
Idaho,0
Illinois,34
Indiana,27
Iowa,0
Kansas,0
Kentucky,53
Louisiana,38
Maine,0
Maryland,40
Massachusetts,37
Michigan,18
Minnesota,30
Mississippi,0
Missouri,23
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,26
New Mexico,0
New York,32
North Carolina,31
North Dakota,0
Ohio,26
Oklahoma,0
Oregon,34
Pennsylvania,29
Rhode Island,0
South Carolina,21
South Dakota,0
Tennessee,16
Texas,33
Utah,0
Vermont,0
Virginia,48
Washington,29
West Virginia,0
Wisconsin,18
Wyoming,0
