geoName,Grok AI
Alabama,55
Alaska,0
Arizona,57
Arkansas,45
California,76
Colorado,62
Connecticut,54
Delaware,0
District of Columbia,40
Florida,65
Georgia,59
Hawaii,48
Idaho,100
Illinois,49
Indiana,54
Iowa,46
Kansas,48
Kentucky,51
Louisiana,46
Maine,47
Maryland,64
Massachusetts,58
Michigan,52
Minnesota,58
Mississippi,45
Missouri,49
Montana,0
Nebraska,62
Nevada,75
New Hampshire,0
New Jersey,66
New Mexico,40
New York,49
North Carolina,50
North Dakota,0
Ohio,51
Oklahoma,64
Oregon,63
Pennsylvania,43
Rhode Island,0
South Carolina,45
South Dakota,0
Tennessee,65
Texas,61
Utah,90
Vermont,0
Virginia,60
Washington,68
West Virginia,0
Wisconsin,49
Wyoming,0
