geoName,GitHub Copilot
Alabama,18
Alaska,0
Arizona,37
Arkansas,49
California,64
Colorado,59
Connecticut,42
Delaware,0
District of Columbia,50
Florida,28
Georgia,40
Hawaii,0
Idaho,40
Illinois,44
Indiana,24
Iowa,32
Kansas,33
Kentucky,21
Louisiana,0
Maine,0
Maryland,39
Massachusetts,58
Michigan,30
Minnesota,42
Mississippi,0
Missouri,36
Montana,0
Nebraska,0
Nevada,27
New Hampshire,47
New Jersey,47
New Mexico,0
New York,40
North Carolina,47
North Dakota,0
Ohio,30
Oklahoma,18
Oregon,47
Pennsylvania,25
Rhode Island,43
South Carolina,18
South Dakota,0
Tennessee,29
Texas,41
Utah,36
Vermont,0
Virginia,62
Washington,100
West Virginia,0
Wisconsin,39
Wyoming,0
