geoName,Anthropic
Alabama,10
Alaska,24
Arizona,19
Arkansas,11
California,63
Colorado,27
Connecticut,22
Delaware,0
District of Columbia,100
Florida,15
Georgia,18
Hawaii,28
Idaho,12
Illinois,21
Indiana,16
Iowa,15
Kansas,12
Kentucky,10
Louisiana,8
Maine,18
Maryland,28
Massachusetts,41
Michigan,14
Minnesota,17
Mississippi,9
Missouri,14
Montana,0
Nebraska,12
Nevada,15
New Hampshire,17
New Jersey,32
New Mexico,13
New York,39
North Carolina,19
North Dakota,0
Ohio,14
Oklahoma,12
Oregon,24
Pennsylvania,15
Rhode Island,15
South Carolina,13
South Dakota,0
Tennessee,11
Texas,21
Utah,26
Vermont,0
Virginia,28
Washington,70
West Virginia,0
Wisconsin,12
Wyoming,0
