geoName,ChatGPT
Alabama,64
Alaska,52
Arizona,76
Arkansas,67
California,99
Colorado,70
Connecticut,77
Delaware,81
District of Columbia,100
Florida,86
Georgia,89
Hawaii,69
Idaho,70
Illinois,69
Indiana,60
Iowa,57
Kansas,68
Kentucky,56
Louisiana,64
Maine,57
Maryland,88
Massachusetts,87
Michigan,67
Minnesota,71
Mississippi,59
Missouri,64
Montana,46
Nebraska,64
Nevada,76
New Hampshire,65
New Jersey,94
New Mexico,62
New York,72
North Carolina,76
North Dakota,53
Ohio,60
Oklahoma,60
Oregon,78
Pennsylvania,67
Rhode Island,69
South Carolina,62
South Dakota,53
Tennessee,61
Texas,89
Utah,87
Vermont,53
Virginia,79
Washington,86
West Virginia,40
Wisconsin,60
Wyoming,54
