geoName,GPT-4
Alabama,20
Alaska,0
Arizona,36
Arkansas,11
California,63
Colorado,39
Connecticut,47
Delaware,26
District of Columbia,100
Florida,33
Georgia,31
Hawaii,29
Idaho,27
Illinois,36
Indiana,28
Iowa,25
Kansas,14
Kentucky,21
Louisiana,27
Maine,38
Maryland,37
Massachusetts,56
Michigan,33
Minnesota,26
Mississippi,13
Missouri,22
Montana,0
Nebraska,26
Nevada,36
New Hampshire,29
New Jersey,44
New Mexico,22
New York,54
North Carolina,29
North Dakota,39
Ohio,24
Oklahoma,20
Oregon,39
Pennsylvania,36
Rhode Island,31
South Carolina,22
South Dakota,0
Tennessee,19
Texas,35
Utah,44
Vermont,52
Virginia,48
Washington,72
West Virginia,0
Wisconsin,24
Wyoming,49
