geoName,Google DeepMind
Alabama,0
Alaska,0
Arizona,11
Arkansas,0
California,78
Colorado,16
Connecticut,29
Delaware,0
District of Columbia,100
Florida,12
Georgia,26
Hawaii,0
Idaho,0
Illinois,27
Indiana,14
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,29
Massachusetts,77
Michigan,18
Minnesota,22
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,21
New Hampshire,0
New Jersey,39
New Mexico,0
New York,48
North Carolina,15
North Dakota,0
Ohio,13
Oklahoma,0
Oregon,33
Pennsylvania,27
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,8
Texas,19
Utah,26
Vermont,0
Virginia,29
Washington,53
West Virginia,0
Wisconsin,15
Wyoming,0
