geoName,ChatGPT
Alabama,48
Alaska,45
Arizona,66
Arkansas,49
California,90
Colorado,59
Connecticut,68
Delaware,64
District of Columbia,100
Florida,65
Georgia,71
Hawaii,58
Idaho,54
Illinois,60
Indiana,51
Iowa,46
Kansas,51
Kentucky,44
Louisiana,45
Maine,40
Maryland,75
Massachusetts,72
Michigan,56
Minnesota,60
Mississippi,46
Missouri,49
Montana,39
Nebraska,46
Nevada,63
New Hampshire,51
New Jersey,82
New Mexico,52
New York,68
North Carolina,61
North Dakota,51
Ohio,49
Oklahoma,52
Oregon,57
Pennsylvania,54
Rhode Island,63
South Carolina,49
South Dakota,44
Tennessee,46
Texas,67
Utah,70
Vermont,47
Virginia,69
Washington,71
West Virginia,35
Wisconsin,47
Wyoming,41
