geoName,Microsoft Copilot
Alabama,26
Alaska,0
Arizona,33
Arkansas,28
California,67
Colorado,59
Connecticut,44
Delaware,68
District of Columbia,91
Florida,40
Georgia,41
Hawaii,54
Idaho,56
Illinois,46
Indiana,28
Iowa,42
Kansas,36
Kentucky,20
Louisiana,31
Maine,0
Maryland,48
Massachusetts,53
Michigan,34
Minnesota,42
Mississippi,0
Missouri,35
Montana,0
Nebraska,0
Nevada,36
New Hampshire,0
New Jersey,58
New Mexico,0
New York,51
North Carolina,43
North Dakota,0
Ohio,31
Oklahoma,0
Oregon,26
Pennsylvania,38
Rhode Island,0
South Carolina,23
South Dakota,0
Tennessee,43
Texas,49
Utah,54
Vermont,0
Virginia,60
Washington,100
West Virginia,0
Wisconsin,53
Wyoming,0
