geoName,Perplexity AI
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,63
Colorado,52
Connecticut,0
Delaware,0
District of Columbia,0
Florida,28
Georgia,47
Hawaii,0
Idaho,0
Illinois,41
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,39
Massachusetts,80
Michigan,0
Minnesota,63
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,53
New Mexico,0
New York,54
North Carolina,27
North Dakota,0
Ohio,26
Oklahoma,0
Oregon,100
Pennsylvania,36
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,45
Utah,0
Vermont,0
Virginia,36
Washington,44
West Virginia,0
Wisconsin,0
Wyoming,0
