geoName,GPT-4
Alabama,20
Alaska,0
Arizona,33
Arkansas,27
California,74
Colorado,39
Connecticut,43
Delaware,0
District of Columbia,94
Florida,29
Georgia,39
Hawaii,71
Idaho,34
Illinois,39
Indiana,28
Iowa,19
Kansas,28
Kentucky,26
Louisiana,21
Maine,43
Maryland,52
Massachusetts,70
Michigan,35
Minnesota,31
Mississippi,21
Missouri,30
Montana,42
Nebraska,31
Nevada,43
New Hampshire,56
New Jersey,38
New Mexico,0
New York,46
North Carolina,29
North Dakota,0
Ohio,27
Oklahoma,23
Oregon,42
Pennsylvania,38
Rhode Island,0
South Carolina,19
South Dakota,0
Tennessee,29
Texas,33
Utah,61
Vermont,0
Virginia,48
Washington,83
West Virginia,0
Wisconsin,26
Wyoming,100
