geoName,ChatGPT
Alabama,29
Alaska,38
Arizona,55
Arkansas,30
California,100
Colorado,59
Connecticut,69
Delaware,53
District of Columbia,80
Florida,51
Georgia,57
Hawaii,46
Idaho,42
Illinois,60
Indiana,46
Iowa,35
Kansas,39
Kentucky,32
Louisiana,29
Maine,41
Maryland,72
Massachusetts,90
Michigan,50
Minnesota,50
Mississippi,26
Missouri,44
Montana,34
Nebraska,35
Nevada,57
New Hampshire,50
New Jersey,77
New Mexico,33
New York,76
North Carolina,47
North Dakota,35
Ohio,44
Oklahoma,34
Oregon,72
Pennsylvania,53
Rhode Island,57
South Carolina,32
South Dakota,31
Tennessee,38
Texas,62
Utah,74
Vermont,50
Virginia,80
Washington,91
West Virginia,32
Wisconsin,43
Wyoming,30
