geoName,GitHub Copilot
Alabama,28
Alaska,0
Arizona,31
Arkansas,0
California,78
Colorado,53
Connecticut,29
Delaware,0
District of Columbia,0
Florida,20
Georgia,29
Hawaii,58
Idaho,0
Illinois,39
Indiana,25
Iowa,34
Kansas,25
Kentucky,14
Louisiana,19
Maine,0
Maryland,34
Massachusetts,58
Michigan,26
Minnesota,36
Mississippi,0
Missouri,25
Montana,0
Nebraska,0
Nevada,32
New Hampshire,0
New Jersey,34
New Mexico,0
New York,44
North Carolina,36
North Dakota,0
Ohio,24
Oklahoma,23
Oregon,51
Pennsylvania,28
Rhode Island,0
South Carolina,23
South Dakota,0
Tennessee,20
Texas,33
Utah,64
Vermont,0
Virginia,49
Washington,100
West Virginia,0
Wisconsin,30
Wyoming,0
