geoName,ChatGPT
Alabama,74
Alaska,58
Arizona,79
Arkansas,70
California,99
Colorado,73
Connecticut,79
Delaware,82
District of Columbia,88
Florida,91
Georgia,95
Hawaii,70
Idaho,73
Illinois,75
Indiana,66
Iowa,61
Kansas,69
Kentucky,66
Louisiana,68
Maine,60
Maryland,84
Massachusetts,81
Michigan,70
Minnesota,75
Mississippi,72
Missouri,63
Montana,50
Nebraska,69
Nevada,81
New Hampshire,67
New Jersey,100
New Mexico,74
New York,91
North Carolina,79
North Dakota,65
Ohio,67
Oklahoma,72
Oregon,76
Pennsylvania,75
Rhode Island,65
South Carolina,70
South Dakota,56
Tennessee,69
Texas,98
Utah,88
Vermont,50
Virginia,82
Washington,86
West Virginia,49
Wisconsin,64
Wyoming,67
