geoName,GitHub Copilot
Alabama,23
Alaska,0
Arizona,39
Arkansas,17
California,62
Colorado,52
Connecticut,42
Delaware,30
District of Columbia,76
Florida,39
Georgia,50
Hawaii,36
Idaho,26
Illinois,57
Indiana,34
Iowa,37
Kansas,25
Kentucky,24
Louisiana,46
Maine,0
Maryland,41
Massachusetts,79
Michigan,32
Minnesota,43
Mississippi,13
Missouri,40
Montana,33
Nebraska,30
Nevada,34
New Hampshire,39
New Jersey,50
New Mexico,23
New York,61
North Carolina,36
North Dakota,0
Ohio,34
Oklahoma,31
Oregon,52
Pennsylvania,38
Rhode Island,37
South Carolina,18
South Dakota,0
Tennessee,31
Texas,50
Utah,71
Vermont,0
Virginia,61
Washington,100
West Virginia,0
Wisconsin,42
Wyoming,69
