geoName,Google DeepMind
Alabama,0
Alaska,0
Arizona,39
Arkansas,0
California,100
Colorado,47
Connecticut,48
Delaware,0
District of Columbia,0
Florida,45
Georgia,40
Hawaii,0
Idaho,0
Illinois,51
Indiana,27
Iowa,51
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,61
Massachusetts,66
Michigan,41
Minnesota,48
Mississippi,0
Missouri,37
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,63
New Mexico,0
New York,89
North Carolina,24
North Dakota,0
Ohio,19
Oklahoma,0
Oregon,52
Pennsylvania,30
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,24
Texas,44
Utah,66
Vermont,0
Virginia,76
Washington,80
West Virginia,0
Wisconsin,0
Wyoming,0
