geoName,GPT-4
Alabama,21
Alaska,0
Arizona,25
Arkansas,0
California,45
Colorado,23
Connecticut,0
Delaware,0
District of Columbia,100
Florida,31
Georgia,41
Hawaii,0
Idaho,0
Illinois,30
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,51
Maine,0
Maryland,26
Massachusetts,47
Michigan,20
Minnesota,17
Mississippi,0
Missouri,27
Montana,0
Nebraska,0
Nevada,37
New Hampshire,62
New Jersey,30
New Mexico,0
New York,52
North Carolina,16
North Dakota,0
Ohio,19
Oklahoma,0
Oregon,31
Pennsylvania,26
Rhode Island,0
South Carolina,23
South Dakota,0
Tennessee,26
Texas,22
Utah,26
Vermont,0
Virginia,47
Washington,36
West Virginia,0
Wisconsin,0
Wyoming,0
