geoName,GPT-5
Alabama,20
Alaska,0
Arizona,20
Arkansas,0
California,39
Colorado,21
Connecticut,33
Delaware,0
District of Columbia,0
Florida,25
Georgia,21
Hawaii,0
Idaho,0
Illinois,28
Indiana,16
Iowa,26
Kansas,0
Kentucky,16
Louisiana,36
Maine,0
Maryland,28
Massachusetts,42
Michigan,16
Minnesota,17
Mississippi,0
Missouri,18
Montana,0
Nebraska,0
Nevada,25
New Hampshire,0
New Jersey,17
New Mexico,0
New York,42
North Carolina,15
North Dakota,100
Ohio,13
Oklahoma,21
Oregon,27
Pennsylvania,23
Rhode Island,0
South Carolina,12
South Dakota,0
Tennessee,16
Texas,20
Utah,31
Vermont,0
Virginia,23
Washington,45
West Virginia,0
Wisconsin,13
Wyoming,0
