geoName,Meta AI
Alabama,0
Alaska,0
Arizona,47
Arkansas,0
California,90
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,47
Georgia,48
Hawaii,0
Idaho,0
Illinois,42
Indiana,39
Iowa,0
Kansas,62
Kentucky,0
Louisiana,0
Maine,0
Maryland,55
Massachusetts,67
Michigan,41
Minnesota,54
Mississippi,86
Missouri,46
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,86
New Mexico,0
New York,77
North Carolina,46
North Dakota,0
Ohio,35
Oklahoma,0
Oregon,58
Pennsylvania,47
Rhode Island,0
South Carolina,38
South Dakota,0
Tennessee,45
Texas,59
Utah,61
Vermont,0
Virginia,66
Washington,100
West Virginia,0
Wisconsin,54
Wyoming,0
