geoName,Grok AI
Alabama,46
Alaska,0
Arizona,93
Arkansas,0
California,96
Colorado,91
Connecticut,81
Delaware,0
District of Columbia,94
Florida,73
Georgia,56
Hawaii,0
Idaho,95
Illinois,72
Indiana,56
Iowa,42
Kansas,0
Kentucky,43
Louisiana,44
Maine,0
Maryland,69
Massachusetts,77
Michigan,64
Minnesota,57
Mississippi,52
Missouri,67
Montana,0
Nebraska,0
Nevada,97
New Hampshire,83
New Jersey,87
New Mexico,0
New York,65
North Carolina,51
North Dakota,0
Ohio,43
Oklahoma,45
Oregon,77
Pennsylvania,41
Rhode Island,0
South Carolina,48
South Dakota,0
Tennessee,43
Texas,66
Utah,89
Vermont,0
Virginia,70
Washington,100
West Virginia,0
Wisconsin,56
Wyoming,0
