geoName,Microsoft Copilot
Alabama,0
Alaska,0
Arizona,23
Arkansas,37
California,46
Colorado,40
Connecticut,45
Delaware,0
District of Columbia,100
Florida,30
Georgia,38
Hawaii,58
Idaho,0
Illinois,41
Indiana,29
Iowa,29
Kansas,50
Kentucky,21
Louisiana,17
Maine,0
Maryland,41
Massachusetts,54
Michigan,34
Minnesota,48
Mississippi,0
Missouri,34
Montana,0
Nebraska,38
Nevada,40
New Hampshire,43
New Jersey,48
New Mexico,34
New York,36
North Carolina,28
North Dakota,0
Ohio,31
Oklahoma,18
Oregon,50
Pennsylvania,30
Rhode Island,0
South Carolina,18
South Dakota,0
Tennessee,32
Texas,34
Utah,29
Vermont,0
Virginia,51
Washington,90
West Virginia,0
Wisconsin,31
Wyoming,0
