geoName,Anthropic
Alabama,0
Alaska,0
Arizona,19
Arkansas,0
California,78
Colorado,31
Connecticut,21
Delaware,0
District of Columbia,100
Florida,18
Georgia,22
Hawaii,0
Idaho,0
Illinois,24
Indiana,14
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,31
Massachusetts,43
Michigan,15
Minnesota,16
Mississippi,0
Missouri,13
Montana,0
Nebraska,0
Nevada,44
New Hampshire,0
New Jersey,35
New Mexico,0
New York,40
North Carolina,21
North Dakota,0
Ohio,14
Oklahoma,0
Oregon,28
Pennsylvania,22
Rhode Island,0
South Carolina,12
South Dakota,0
Tennessee,11
Texas,19
Utah,0
Vermont,0
Virginia,30
Washington,62
West Virginia,0
Wisconsin,16
Wyoming,0
