geoName,Perplexity AI
Alabama,41
Alaska,0
Arizona,71
Arkansas,76
California,100
Colorado,64
Connecticut,62
Delaware,0
District of Columbia,0
Florida,51
Georgia,76
Hawaii,0
Idaho,0
Illinois,85
Indiana,61
Iowa,0
Kansas,0
Kentucky,44
Louisiana,0
Maine,0
Maryland,61
Massachusetts,94
Michigan,58
Minnesota,36
Mississippi,0
Missouri,74
Montana,0
Nebraska,0
Nevada,85
New Hampshire,0
New Jersey,99
New Mexico,0
New York,72
North Carolina,73
North Dakota,0
Ohio,57
Oklahoma,0
Oregon,80
Pennsylvania,77
Rhode Island,0
South Carolina,43
South Dakota,0
Tennessee,46
Texas,86
Utah,85
Vermont,0
Virginia,97
Washington,86
West Virginia,0
Wisconsin,41
Wyoming,0
