geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,29
Arkansas,0
California,89
Colorado,61
Connecticut,34
Delaware,0
District of Columbia,0
Florida,27
Georgia,39
Hawaii,90
Idaho,0
Illinois,50
Indiana,0
Iowa,0
Kansas,0
Kentucky,36
Louisiana,0
Maine,0
Maryland,56
Massachusetts,90
Michigan,35
Minnesota,50
Mississippi,0
Missouri,31
Montana,0
Nebraska,100
Nevada,37
New Hampshire,0
New Jersey,59
New Mexico,0
New York,52
North Carolina,41
North Dakota,0
Ohio,34
Oklahoma,0
Oregon,77
Pennsylvania,36
Rhode Island,0
South Carolina,27
South Dakota,0
Tennessee,48
Texas,40
Utah,63
Vermont,0
Virginia,59
Washington,93
West Virginia,0
Wisconsin,44
Wyoming,0
