geoName,GPT-4
Alabama,0
Alaska,0
Arizona,45
Arkansas,0
California,95
Colorado,45
Connecticut,0
Delaware,0
District of Columbia,0
Florida,37
Georgia,48
Hawaii,0
Idaho,0
Illinois,38
Indiana,30
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,56
Massachusetts,83
Michigan,30
Minnesota,50
Mississippi,0
Missouri,42
Montana,0
Nebraska,0
Nevada,61
New Hampshire,0
New Jersey,51
New Mexico,0
New York,69
North Carolina,37
North Dakota,0
Ohio,28
Oklahoma,0
Oregon,92
Pennsylvania,43
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,30
Utah,0
Vermont,0
Virginia,50
Washington,100
West Virginia,0
Wisconsin,36
Wyoming,0
