geoName,ChatGPT
Alabama,45
Alaska,44
Arizona,63
Arkansas,38
California,90
Colorado,60
Connecticut,66
Delaware,52
District of Columbia,100
Florida,60
Georgia,67
Hawaii,53
Idaho,51
Illinois,57
Indiana,50
Iowa,39
Kansas,45
Kentucky,39
Louisiana,37
Maine,44
Maryland,71
Massachusetts,84
Michigan,54
Minnesota,51
Mississippi,37
Missouri,50
Montana,38
Nebraska,44
Nevada,57
New Hampshire,50
New Jersey,76
New Mexico,43
New York,68
North Carolina,56
North Dakota,44
Ohio,47
Oklahoma,40
Oregon,58
Pennsylvania,53
Rhode Island,63
South Carolina,40
South Dakota,42
Tennessee,45
Texas,67
Utah,71
Vermont,51
Virginia,71
Washington,74
West Virginia,31
Wisconsin,40
Wyoming,42
