geoName,GPT-5
Alabama,6
Alaska,6
Arizona,7
Arkansas,4
California,14
Colorado,8
Connecticut,9
Delaware,6
District of Columbia,13
Florida,8
Georgia,8
Hawaii,7
Idaho,5
Illinois,8
Indiana,6
Iowa,5
Kansas,27
Kentucky,6
Louisiana,7
Maine,3
Maryland,8
Massachusetts,10
Michigan,6
Minnesota,6
Mississippi,7
Missouri,6
Montana,5
Nebraska,5
Nevada,10
New Hampshire,7
New Jersey,8
New Mexico,5
New York,10
North Carolina,7
North Dakota,4
Ohio,6
Oklahoma,6
Oregon,7
Pennsylvania,7
Rhode Island,6
South Carolina,5
South Dakota,3
Tennessee,7
Texas,7
Utah,9
Vermont,7
Virginia,10
Washington,12
West Virginia,5
Wisconsin,5
Wyoming,100
