geoName,ChatGPT
Alabama,71
Alaska,53
Arizona,80
Arkansas,73
California,98
Colorado,63
Connecticut,75
Delaware,75
District of Columbia,93
Florida,87
Georgia,91
Hawaii,66
Idaho,66
Illinois,71
Indiana,60
Iowa,59
Kansas,68
Kentucky,59
Louisiana,70
Maine,55
Maryland,80
Massachusetts,78
Michigan,66
Minnesota,60
Mississippi,73
Missouri,65
Montana,52
Nebraska,67
Nevada,74
New Hampshire,60
New Jersey,82
New Mexico,69
New York,86
North Carolina,75
North Dakota,67
Ohio,64
Oklahoma,66
Oregon,65
Pennsylvania,64
Rhode Island,74
South Carolina,67
South Dakota,57
Tennessee,64
Texas,85
Utah,74
Vermont,55
Virginia,82
Washington,74
West Virginia,49
Wisconsin,57
Wyoming,100
