geoName,GPT-4
Alabama,0
Alaska,0
Arizona,43
Arkansas,77
California,87
Colorado,49
Connecticut,59
Delaware,0
District of Columbia,0
Florida,64
Georgia,54
Hawaii,0
Idaho,0
Illinois,52
Indiana,0
Iowa,0
Kansas,70
Kentucky,0
Louisiana,0
Maine,0
Maryland,72
Massachusetts,86
Michigan,31
Minnesota,36
Mississippi,0
Missouri,44
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,54
New Mexico,0
New York,78
North Carolina,36
North Dakota,0
Ohio,38
Oklahoma,45
Oregon,0
Pennsylvania,43
Rhode Island,0
South Carolina,45
South Dakota,0
Tennessee,31
Texas,58
Utah,52
Vermont,0
Virginia,94
Washington,100
West Virginia,0
Wisconsin,46
Wyoming,0
