geoName,GitHub Copilot
Alabama,18
Alaska,0
Arizona,39
Arkansas,25
California,54
Colorado,43
Connecticut,32
Delaware,0
District of Columbia,100
Florida,36
Georgia,38
Hawaii,38
Idaho,36
Illinois,43
Indiana,25
Iowa,27
Kansas,31
Kentucky,26
Louisiana,29
Maine,0
Maryland,44
Massachusetts,67
Michigan,34
Minnesota,39
Mississippi,15
Missouri,40
Montana,0
Nebraska,29
Nevada,33
New Hampshire,35
New Jersey,45
New Mexico,18
New York,45
North Carolina,37
North Dakota,0
Ohio,28
Oklahoma,26
Oregon,47
Pennsylvania,35
Rhode Island,34
South Carolina,17
South Dakota,0
Tennessee,28
Texas,41
Utah,57
Vermont,0
Virginia,58
Washington,77
West Virginia,0
Wisconsin,26
Wyoming,0
