geoName,ChatGPT
Alabama,64
Alaska,54
Arizona,79
Arkansas,64
California,100
Colorado,67
Connecticut,74
Delaware,64
District of Columbia,89
Florida,74
Georgia,84
Hawaii,61
Idaho,68
Illinois,65
Indiana,59
Iowa,53
Kansas,60
Kentucky,50
Louisiana,62
Maine,48
Maryland,77
Massachusetts,80
Michigan,62
Minnesota,62
Mississippi,53
Missouri,61
Montana,43
Nebraska,61
Nevada,71
New Hampshire,55
New Jersey,85
New Mexico,65
New York,82
North Carolina,66
North Dakota,57
Ohio,56
Oklahoma,64
Oregon,62
Pennsylvania,60
Rhode Island,67
South Carolina,58
South Dakota,51
Tennessee,57
Texas,79
Utah,76
Vermont,47
Virginia,82
Washington,75
West Virginia,39
Wisconsin,58
Wyoming,52
