geoName,GPT-5
Alabama,19
Alaska,0
Arizona,20
Arkansas,0
California,46
Colorado,31
Connecticut,16
Delaware,0
District of Columbia,100
Florida,34
Georgia,29
Hawaii,47
Idaho,0
Illinois,21
Indiana,18
Iowa,0
Kansas,0
Kentucky,0
Louisiana,28
Maine,0
Maryland,36
Massachusetts,38
Michigan,18
Minnesota,18
Mississippi,0
Missouri,27
Montana,0
Nebraska,35
Nevada,0
New Hampshire,0
New Jersey,35
New Mexico,0
New York,38
North Carolina,17
North Dakota,0
Ohio,15
Oklahoma,28
Oregon,41
Pennsylvania,24
Rhode Island,0
South Carolina,18
South Dakota,0
Tennessee,27
Texas,28
Utah,37
Vermont,0
Virginia,40
Washington,51
West Virginia,0
Wisconsin,24
Wyoming,0
