geoName,Perplexity AI
Alabama,29
Alaska,0
Arizona,39
Arkansas,21
California,54
Colorado,47
Connecticut,27
Delaware,31
District of Columbia,95
Florida,45
Georgia,56
Hawaii,41
Idaho,17
Illinois,48
Indiana,18
Iowa,12
Kansas,31
Kentucky,13
Louisiana,100
Maine,15
Maryland,70
Massachusetts,97
Michigan,31
Minnesota,38
Mississippi,23
Missouri,47
Montana,0
Nebraska,22
Nevada,46
New Hampshire,18
New Jersey,62
New Mexico,33
New York,57
North Carolina,25
North Dakota,0
Ohio,30
Oklahoma,44
Oregon,47
Pennsylvania,43
Rhode Island,16
South Carolina,16
South Dakota,0
Tennessee,36
Texas,44
Utah,51
Vermont,0
Virginia,39
Washington,80
West Virginia,0
Wisconsin,31
Wyoming,0
