geoName,GitHub Copilot
Alabama,34
Alaska,0
Arizona,49
Arkansas,25
California,71
Colorado,59
Connecticut,36
Delaware,0
District of Columbia,99
Florida,43
Georgia,51
Hawaii,44
Idaho,28
Illinois,61
Indiana,33
Iowa,49
Kansas,42
Kentucky,28
Louisiana,23
Maine,35
Maryland,48
Massachusetts,81
Michigan,45
Minnesota,50
Mississippi,28
Missouri,41
Montana,0
Nebraska,41
Nevada,40
New Hampshire,0
New Jersey,54
New Mexico,23
New York,62
North Carolina,43
North Dakota,0
Ohio,33
Oklahoma,22
Oregon,49
Pennsylvania,38
Rhode Island,36
South Carolina,21
South Dakota,0
Tennessee,36
Texas,51
Utah,73
Vermont,0
Virginia,71
Washington,100
West Virginia,0
Wisconsin,40
Wyoming,0
