geoName,ChatGPT
Alabama,72
Alaska,58
Arizona,83
Arkansas,72
California,91
Colorado,65
Connecticut,89
Delaware,82
District of Columbia,99
Florida,84
Georgia,98
Hawaii,69
Idaho,70
Illinois,76
Indiana,77
Iowa,64
Kansas,74
Kentucky,66
Louisiana,76
Maine,57
Maryland,88
Massachusetts,83
Michigan,73
Minnesota,73
Mississippi,75
Missouri,70
Montana,49
Nebraska,67
Nevada,76
New Hampshire,62
New Jersey,100
New Mexico,71
New York,87
North Carolina,82
North Dakota,64
Ohio,67
Oklahoma,68
Oregon,72
Pennsylvania,75
Rhode Island,80
South Carolina,74
South Dakota,60
Tennessee,65
Texas,86
Utah,82
Vermont,53
Virginia,87
Washington,81
West Virginia,53
Wisconsin,66
Wyoming,66
