geoName,Google DeepMind
Alabama,32
Alaska,0
Arizona,25
Arkansas,0
California,74
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,40
Georgia,39
Hawaii,0
Idaho,0
Illinois,37
Indiana,20
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,59
Massachusetts,70
Michigan,15
Minnesota,31
Mississippi,0
Missouri,25
Montana,0
Nebraska,100
Nevada,0
New Hampshire,0
New Jersey,48
New Mexico,0
New York,57
North Carolina,25
North Dakota,0
Ohio,24
Oklahoma,0
Oregon,29
Pennsylvania,35
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,21
Texas,35
Utah,42
Vermont,0
Virginia,47
Washington,91
West Virginia,0
Wisconsin,0
Wyoming,0
