geoName,GPT-4
Alabama,0
Alaska,0
Arizona,85
Arkansas,0
California,100
Colorado,44
Connecticut,0
Delaware,0
District of Columbia,0
Florida,76
Georgia,61
Hawaii,0
Idaho,0
Illinois,80
Indiana,36
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,90
Massachusetts,94
Michigan,43
Minnesota,46
Mississippi,0
Missouri,50
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,86
New Mexico,0
New York,93
North Carolina,48
North Dakota,0
Ohio,48
Oklahoma,0
Oregon,0
Pennsylvania,43
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,50
Texas,54
Utah,52
Vermont,0
Virginia,69
Washington,93
West Virginia,0
Wisconsin,58
Wyoming,0
