geoName,GPT-5
Alabama,27
Alaska,0
Arizona,39
Arkansas,0
California,63
Colorado,53
Connecticut,27
Delaware,0
District of Columbia,100
Florida,44
Georgia,48
Hawaii,0
Idaho,0
Illinois,42
Indiana,21
Iowa,34
Kansas,0
Kentucky,18
Louisiana,29
Maine,0
Maryland,76
Massachusetts,84
Michigan,36
Minnesota,27
Mississippi,0
Missouri,32
Montana,0
Nebraska,0
Nevada,35
New Hampshire,84
New Jersey,50
New Mexico,0
New York,58
North Carolina,27
North Dakota,0
Ohio,29
Oklahoma,0
Oregon,42
Pennsylvania,35
Rhode Island,61
South Carolina,22
South Dakota,0
Tennessee,30
Texas,41
Utah,69
Vermont,0
Virginia,63
Washington,86
West Virginia,0
Wisconsin,28
Wyoming,0
