geoName,GitHub Copilot
Alabama,29
Alaska,0
Arizona,26
Arkansas,0
California,77
Colorado,68
Connecticut,47
Delaware,0
District of Columbia,0
Florida,29
Georgia,38
Hawaii,0
Idaho,0
Illinois,35
Indiana,0
Iowa,35
Kansas,0
Kentucky,0
Louisiana,25
Maine,0
Maryland,48
Massachusetts,82
Michigan,41
Minnesota,55
Mississippi,0
Missouri,34
Montana,0
Nebraska,0
Nevada,29
New Hampshire,71
New Jersey,51
New Mexico,0
New York,44
North Carolina,43
North Dakota,0
Ohio,33
Oklahoma,0
Oregon,65
Pennsylvania,36
Rhode Island,0
South Carolina,24
South Dakota,0
Tennessee,23
Texas,42
Utah,77
Vermont,0
Virginia,56
Washington,100
West Virginia,0
Wisconsin,38
Wyoming,0
