geoName,Anthropic
Alabama,0
Alaska,0
Arizona,14
Arkansas,0
California,68
Colorado,24
Connecticut,18
Delaware,0
District of Columbia,100
Florida,9
Georgia,13
Hawaii,0
Idaho,0
Illinois,17
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,24
Massachusetts,35
Michigan,12
Minnesota,20
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,28
New Mexico,0
New York,33
North Carolina,12
North Dakota,0
Ohio,7
Oklahoma,0
Oregon,23
Pennsylvania,14
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,11
Texas,18
Utah,21
Vermont,0
Virginia,22
Washington,55
West Virginia,0
Wisconsin,0
Wyoming,0
