geoName,GPT-4
Alabama,0
Alaska,0
Arizona,41
Arkansas,0
California,81
Colorado,54
Connecticut,0
Delaware,0
District of Columbia,0
Florida,39
Georgia,51
Hawaii,0
Idaho,0
Illinois,27
Indiana,51
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,35
Massachusetts,63
Michigan,30
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,59
New Mexico,0
New York,56
North Carolina,0
North Dakota,0
Ohio,21
Oklahoma,0
Oregon,0
Pennsylvania,40
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,32
Utah,0
Vermont,0
Virginia,59
Washington,100
West Virginia,0
Wisconsin,0
Wyoming,0
