geoName,ChatGPT
Alabama,48
Alaska,50
Arizona,70
Arkansas,43
California,91
Colorado,66
Connecticut,67
Delaware,55
District of Columbia,100
Florida,72
Georgia,77
Hawaii,63
Idaho,55
Illinois,60
Indiana,56
Iowa,43
Kansas,46
Kentucky,43
Louisiana,36
Maine,49
Maryland,77
Massachusetts,81
Michigan,58
Minnesota,63
Mississippi,37
Missouri,50
Montana,40
Nebraska,45
Nevada,64
New Hampshire,57
New Jersey,86
New Mexico,46
New York,66
North Carolina,63
North Dakota,49
Ohio,49
Oklahoma,44
Oregon,63
Pennsylvania,63
Rhode Island,62
South Carolina,47
South Dakota,48
Tennessee,46
Texas,72
Utah,81
Vermont,49
Virginia,72
Washington,82
West Virginia,37
Wisconsin,43
Wyoming,50
