geoName,Meta AI
Alabama,0
Alaska,0
Arizona,38
Arkansas,0
California,67
Colorado,36
Connecticut,66
Delaware,100
District of Columbia,96
Florida,32
Georgia,26
Hawaii,0
Idaho,0
Illinois,28
Indiana,31
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,40
Massachusetts,43
Michigan,21
Minnesota,37
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,37
New Hampshire,0
New Jersey,60
New Mexico,0
New York,46
North Carolina,36
North Dakota,0
Ohio,27
Oklahoma,0
Oregon,29
Pennsylvania,27
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,17
Texas,34
Utah,45
Vermont,0
Virginia,34
Washington,58
West Virginia,0
Wisconsin,0
Wyoming,0
