geoName,Perplexity AI
Alabama,21
Alaska,0
Arizona,45
Arkansas,0
California,77
Colorado,43
Connecticut,40
Delaware,0
District of Columbia,97
Florida,38
Georgia,57
Hawaii,48
Idaho,0
Illinois,34
Indiana,27
Iowa,52
Kansas,31
Kentucky,25
Louisiana,27
Maine,0
Maryland,44
Massachusetts,76
Michigan,34
Minnesota,46
Mississippi,0
Missouri,39
Montana,0
Nebraska,0
Nevada,28
New Hampshire,0
New Jersey,61
New Mexico,48
New York,49
North Carolina,36
North Dakota,100
Ohio,27
Oklahoma,28
Oregon,35
Pennsylvania,46
Rhode Island,76
South Carolina,22
South Dakota,0
Tennessee,22
Texas,41
Utah,48
Vermont,0
Virginia,53
Washington,73
West Virginia,0
Wisconsin,24
Wyoming,0
