geoName,Microsoft Copilot
Alabama,30
Alaska,0
Arizona,41
Arkansas,46
California,53
Colorado,58
Connecticut,61
Delaware,0
District of Columbia,100
Florida,48
Georgia,47
Hawaii,0
Idaho,38
Illinois,55
Indiana,31
Iowa,46
Kansas,44
Kentucky,23
Louisiana,14
Maine,0
Maryland,65
Massachusetts,63
Michigan,35
Minnesota,59
Mississippi,0
Missouri,40
Montana,0
Nebraska,49
Nevada,31
New Hampshire,52
New Jersey,61
New Mexico,0
New York,46
North Carolina,47
North Dakota,0
Ohio,40
Oklahoma,48
Oregon,63
Pennsylvania,44
Rhode Island,0
South Carolina,29
South Dakota,0
Tennessee,37
Texas,48
Utah,57
Vermont,0
Virginia,60
Washington,89
West Virginia,0
Wisconsin,31
Wyoming,0
