geoName,Perplexity AI
Alabama,0
Alaska,0
Arizona,100
Arkansas,0
California,87
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,35
Georgia,0
Hawaii,0
Idaho,0
Illinois,50
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,79
Massachusetts,68
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,72
New Mexico,0
New York,56
North Carolina,52
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,44
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,66
Utah,0
Vermont,0
Virginia,0
Washington,0
West Virginia,0
Wisconsin,0
Wyoming,0
