geoName,ChatGPT
Alabama,32
Alaska,47
Arizona,59
Arkansas,39
California,85
Colorado,66
Connecticut,67
Delaware,48
District of Columbia,99
Florida,60
Georgia,61
Hawaii,50
Idaho,49
Illinois,66
Indiana,47
Iowa,39
Kansas,45
Kentucky,35
Louisiana,31
Maine,42
Maryland,73
Massachusetts,93
Michigan,54
Minnesota,61
Mississippi,27
Missouri,46
Montana,40
Nebraska,44
Nevada,47
New Hampshire,63
New Jersey,88
New Mexico,35
New York,71
North Carolina,58
North Dakota,39
Ohio,45
Oklahoma,38
Oregon,71
Pennsylvania,59
Rhode Island,59
South Carolina,33
South Dakota,40
Tennessee,44
Texas,61
Utah,72
Vermont,54
Virginia,72
Washington,100
West Virginia,31
Wisconsin,40
Wyoming,36
