geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,32
Arkansas,0
California,66
Colorado,63
Connecticut,34
Delaware,0
District of Columbia,0
Florida,33
Georgia,32
Hawaii,0
Idaho,0
Illinois,46
Indiana,36
Iowa,48
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,23
Massachusetts,75
Michigan,35
Minnesota,49
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,41
New Hampshire,0
New Jersey,40
New Mexico,0
New York,40
North Carolina,30
North Dakota,0
Ohio,26
Oklahoma,0
Oregon,60
Pennsylvania,40
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,44
Texas,38
Utah,65
Vermont,0
Virginia,54
Washington,100
West Virginia,0
Wisconsin,24
Wyoming,0
