geoName,GitHub Copilot
Alabama,12
Alaska,0
Arizona,24
Arkansas,0
California,70
Colorado,39
Connecticut,35
Delaware,0
District of Columbia,0
Florida,19
Georgia,22
Hawaii,0
Idaho,0
Illinois,31
Indiana,23
Iowa,22
Kansas,39
Kentucky,0
Louisiana,0
Maine,0
Maryland,32
Massachusetts,51
Michigan,25
Minnesota,32
Mississippi,0
Missouri,29
Montana,0
Nebraska,0
Nevada,0
New Hampshire,52
New Jersey,37
New Mexico,0
New York,36
North Carolina,33
North Dakota,0
Ohio,21
Oklahoma,0
Oregon,35
Pennsylvania,32
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,23
Texas,28
Utah,60
Vermont,0
Virginia,43
Washington,100
West Virginia,0
Wisconsin,19
Wyoming,0
