geoName,ChatGPT
Alabama,36
Alaska,46
Arizona,58
Arkansas,33
California,100
Colorado,66
Connecticut,72
Delaware,52
District of Columbia,89
Florida,60
Georgia,60
Hawaii,51
Idaho,45
Illinois,69
Indiana,49
Iowa,37
Kansas,48
Kentucky,35
Louisiana,33
Maine,38
Maryland,73
Massachusetts,98
Michigan,52
Minnesota,51
Mississippi,29
Missouri,45
Montana,35
Nebraska,39
Nevada,57
New Hampshire,50
New Jersey,81
New Mexico,36
New York,77
North Carolina,53
North Dakota,37
Ohio,47
Oklahoma,39
Oregon,70
Pennsylvania,58
Rhode Island,56
South Carolina,36
South Dakota,33
Tennessee,43
Texas,71
Utah,75
Vermont,52
Virginia,77
Washington,89
West Virginia,34
Wisconsin,44
Wyoming,38
