geoName,Microsoft Copilot
Alabama,0
Alaska,0
Arizona,22
Arkansas,0
California,46
Colorado,27
Connecticut,27
Delaware,0
District of Columbia,100
Florida,22
Georgia,31
Hawaii,0
Idaho,0
Illinois,28
Indiana,22
Iowa,0
Kansas,0
Kentucky,39
Louisiana,0
Maine,0
Maryland,42
Massachusetts,48
Michigan,24
Minnesota,30
Mississippi,0
Missouri,29
Montana,0
Nebraska,0
Nevada,28
New Hampshire,0
New Jersey,32
New Mexico,0
New York,37
North Carolina,24
North Dakota,0
Ohio,21
Oklahoma,0
Oregon,32
Pennsylvania,24
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,33
Utah,0
Vermont,0
Virginia,54
Washington,74
West Virginia,0
Wisconsin,41
Wyoming,0
