geoName,GPT-5
Alabama,22
Alaska,26
Arizona,27
Arkansas,25
California,100
Colorado,35
Connecticut,39
Delaware,23
District of Columbia,36
Florida,34
Georgia,29
Hawaii,99
Idaho,20
Illinois,30
Indiana,23
Iowa,18
Kansas,18
Kentucky,24
Louisiana,22
Maine,15
Maryland,39
Massachusetts,79
Michigan,25
Minnesota,23
Mississippi,26
Missouri,24
Montana,0
Nebraska,20
Nevada,33
New Hampshire,10
New Jersey,33
New Mexico,28
New York,39
North Carolina,29
North Dakota,17
Ohio,23
Oklahoma,23
Oregon,33
Pennsylvania,29
Rhode Island,32
South Carolina,30
South Dakota,0
Tennessee,26
Texas,29
Utah,28
Vermont,0
Virginia,36
Washington,48
West Virginia,17
Wisconsin,22
Wyoming,0
