geoName,Google DeepMind
Alabama,0
Alaska,0
Arizona,26
Arkansas,0
California,90
Colorado,38
Connecticut,45
Delaware,0
District of Columbia,0
Florida,26
Georgia,23
Hawaii,0
Idaho,0
Illinois,24
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,90
Massachusetts,100
Michigan,18
Minnesota,35
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,44
New Mexico,0
New York,47
North Carolina,20
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,27
Rhode Island,0
South Carolina,36
South Dakota,0
Tennessee,27
Texas,23
Utah,0
Vermont,0
Virginia,56
Washington,51
West Virginia,0
Wisconsin,44
Wyoming,0
