geoName,ChatGPT
Alabama,72
Alaska,47
Arizona,81
Arkansas,72
California,91
Colorado,71
Connecticut,70
Delaware,63
District of Columbia,88
Florida,89
Georgia,100
Hawaii,71
Idaho,63
Illinois,74
Indiana,67
Iowa,55
Kansas,66
Kentucky,64
Louisiana,67
Maine,44
Maryland,74
Massachusetts,68
Michigan,60
Minnesota,56
Mississippi,71
Missouri,62
Montana,41
Nebraska,65
Nevada,73
New Hampshire,52
New Jersey,78
New Mexico,70
New York,65
North Carolina,76
North Dakota,54
Ohio,60
Oklahoma,64
Oregon,62
Pennsylvania,58
Rhode Island,62
South Carolina,69
South Dakota,49
Tennessee,65
Texas,87
Utah,78
Vermont,48
Virginia,79
Washington,66
West Virginia,50
Wisconsin,54
Wyoming,51
