geoName,GitHub Copilot
Alabama,22
Alaska,0
Arizona,42
Arkansas,31
California,73
Colorado,50
Connecticut,46
Delaware,0
District of Columbia,87
Florida,36
Georgia,48
Hawaii,100
Idaho,47
Illinois,54
Indiana,26
Iowa,31
Kansas,23
Kentucky,19
Louisiana,21
Maine,0
Maryland,43
Massachusetts,83
Michigan,29
Minnesota,51
Mississippi,0
Missouri,33
Montana,0
Nebraska,48
Nevada,36
New Hampshire,38
New Jersey,52
New Mexico,25
New York,48
North Carolina,50
North Dakota,0
Ohio,38
Oklahoma,22
Oregon,63
Pennsylvania,39
Rhode Island,45
South Carolina,30
South Dakota,0
Tennessee,32
Texas,50
Utah,76
Vermont,64
Virginia,63
Washington,98
West Virginia,0
Wisconsin,37
Wyoming,0
