geoName,GPT-4
Alabama,25
Alaska,0
Arizona,34
Arkansas,0
California,100
Colorado,44
Connecticut,36
Delaware,0
District of Columbia,0
Florida,41
Georgia,39
Hawaii,0
Idaho,0
Illinois,32
Indiana,24
Iowa,55
Kansas,36
Kentucky,27
Louisiana,0
Maine,0
Maryland,47
Massachusetts,67
Michigan,29
Minnesota,23
Mississippi,0
Missouri,26
Montana,0
Nebraska,0
Nevada,41
New Hampshire,0
New Jersey,35
New Mexico,0
New York,54
North Carolina,36
North Dakota,0
Ohio,36
Oklahoma,41
Oregon,22
Pennsylvania,40
Rhode Island,0
South Carolina,41
South Dakota,0
Tennessee,23
Texas,41
Utah,46
Vermont,0
Virginia,39
Washington,45
West Virginia,0
Wisconsin,17
Wyoming,0
