geoName,GPT-4
Alabama,0
Alaska,0
Arizona,46
Arkansas,0
California,100
Colorado,56
Connecticut,76
Delaware,0
District of Columbia,0
Florida,37
Georgia,48
Hawaii,0
Idaho,0
Illinois,52
Indiana,55
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,37
Massachusetts,68
Michigan,45
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,77
New Mexico,0
New York,52
North Carolina,25
North Dakota,0
Ohio,26
Oklahoma,0
Oregon,51
Pennsylvania,42
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,46
Utah,0
Vermont,0
Virginia,56
Washington,92
West Virginia,0
Wisconsin,0
Wyoming,0
