geoName,ChatGPT
Alabama,58
Alaska,56
Arizona,74
Arkansas,51
California,100
Colorado,66
Connecticut,77
Delaware,72
District of Columbia,99
Florida,72
Georgia,90
Hawaii,62
Idaho,56
Illinois,66
Indiana,58
Iowa,56
Kansas,57
Kentucky,50
Louisiana,53
Maine,51
Maryland,80
Massachusetts,90
Michigan,69
Minnesota,63
Mississippi,50
Missouri,54
Montana,46
Nebraska,53
Nevada,78
New Hampshire,57
New Jersey,91
New Mexico,53
New York,79
North Carolina,74
North Dakota,55
Ohio,61
Oklahoma,56
Oregon,63
Pennsylvania,71
Rhode Island,71
South Carolina,56
South Dakota,53
Tennessee,57
Texas,80
Utah,79
Vermont,60
Virginia,77
Washington,78
West Virginia,48
Wisconsin,56
Wyoming,53
