geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,30
Arkansas,0
California,61
Colorado,37
Connecticut,39
Delaware,0
District of Columbia,100
Florida,21
Georgia,32
Hawaii,0
Idaho,0
Illinois,40
Indiana,30
Iowa,38
Kansas,31
Kentucky,0
Louisiana,0
Maine,0
Maryland,32
Massachusetts,58
Michigan,35
Minnesota,39
Mississippi,0
Missouri,20
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,41
New Mexico,0
New York,34
North Carolina,27
North Dakota,0
Ohio,25
Oklahoma,0
Oregon,33
Pennsylvania,27
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,18
Texas,42
Utah,53
Vermont,0
Virginia,54
Washington,63
West Virginia,0
Wisconsin,22
Wyoming,0
