geoName,Perplexity AI
Alabama,18
Alaska,0
Arizona,41
Arkansas,24
California,58
Colorado,33
Connecticut,47
Delaware,0
District of Columbia,100
Florida,34
Georgia,41
Hawaii,0
Idaho,33
Illinois,36
Indiana,31
Iowa,0
Kansas,0
Kentucky,22
Louisiana,15
Maine,0
Maryland,49
Massachusetts,58
Michigan,25
Minnesota,24
Mississippi,0
Missouri,37
Montana,0
Nebraska,0
Nevada,27
New Hampshire,0
New Jersey,46
New Mexico,0
New York,50
North Carolina,39
North Dakota,76
Ohio,28
Oklahoma,0
Oregon,42
Pennsylvania,38
Rhode Island,0
South Carolina,23
South Dakota,0
Tennessee,26
Texas,44
Utah,27
Vermont,88
Virginia,45
Washington,54
West Virginia,0
Wisconsin,17
Wyoming,0
