geoName,Anthropic
Alabama,11
Alaska,0
Arizona,20
Arkansas,0
California,75
Colorado,27
Connecticut,32
Delaware,0
District of Columbia,100
Florida,17
Georgia,19
Hawaii,0
Idaho,31
Illinois,24
Indiana,14
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,28
Massachusetts,50
Michigan,14
Minnesota,18
Mississippi,0
Missouri,14
Montana,0
Nebraska,0
Nevada,23
New Hampshire,0
New Jersey,39
New Mexico,0
New York,49
North Carolina,18
North Dakota,0
Ohio,12
Oklahoma,13
Oregon,35
Pennsylvania,22
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,17
Texas,22
Utah,22
Vermont,0
Virginia,34
Washington,85
West Virginia,0
Wisconsin,20
Wyoming,0
