geoName,Meta AI
Alabama,0
Alaska,0
Arizona,57
Arkansas,0
California,100
Colorado,56
Connecticut,66
Delaware,0
District of Columbia,0
Florida,31
Georgia,57
Hawaii,0
Idaho,0
Illinois,31
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,43
Massachusetts,63
Michigan,0
Minnesota,0
Mississippi,0
Missouri,37
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,49
New Mexico,0
New York,53
North Carolina,28
North Dakota,0
Ohio,28
Oklahoma,0
Oregon,0
Pennsylvania,21
Rhode Island,0
South Carolina,53
South Dakota,0
Tennessee,0
Texas,45
Utah,0
Vermont,0
Virginia,56
Washington,89
West Virginia,0
Wisconsin,0
Wyoming,0
